SK_ID_CURR,TARGET
100001,0.1
100005,0.18
100013,0.03
100028,0.01
100038,0.08
100042,0.08
100057,0.03
100065,0.055
100066,0.02
100067,0.185
100074,0.05
100090,0.04
100091,0.1
100092,0.1
100106,0.055
100107,0.21
100109,0.07
100117,0.03
100128,0.13
100141,0.075
100150,0.04
100168,0.035
100169,0.11
100170,0.03
100171,0.03
100172,0.08
100184,0.08
100187,0.04
100212,0.09
100222,0.06
100223,0.07
100232,0.03
100241,0.18
100245,0.08
100253,0.04
100256,0.14
100271,0.11
100278,0.26
100280,0.065
100306,0.2
100311,0.09
100312,0.07
100330,0.16
100331,0.08
100352,0.08
100358,0.08
100367,0.06
100382,0.16
100384,0.09
100385,0.15
100386,0.07
100399,0.01
100404,0.14
100416,0.04
100422,0.15
100426,0.02
100438,0.06
100444,0.23
100445,0.06
100446,0.135
100447,0.04
100450,0.05
100466,0.05
100483,0.02
100484,0.09
100494,0.1
100510,0.125
100512,0.03
100517,0.04
100548,0.02
100551,0.03
100552,0.17
100553,0.09
100561,0.14
100568,0.34
100569,0.05
100591,0.05
100592,0.01
100602,0.06
100607,0.07
100613,0.065
100617,0.105
100618,0.13
100622,0.16
100625,0.13
100677,0.16
100699,0.02
100702,0.38
100711,0.07
100729,0.1
100740,0.14
100744,0.16
100745,0.06
100747,0.13
100751,0.28
100752,0.14
100753,0.13
100754,0.1
100760,0.06
100762,0.03
100763,0.15
100765,0.05
100770,0.13
100772,0.03
100777,0.03
100791,0.01
100792,0.02
100797,0.03
100823,0.04
100826,0.1
100830,0.03
100836,0.31
100872,0.11
100910,0.12
100913,0.23
100918,0.12
100931,0.06
100952,0.04
100953,0.16
100965,0.26
100970,0.02
100982,0.1
100983,0.26
100984,0.06
100987,0.15
100997,0.02
100998,0.13
101002,0.1
101005,0.22
101008,0.22
101020,0.01
101021,0.08
101024,0.24
101025,0.17
101026,0.05
101031,0.03
101041,0.03
101051,0.04
101055,0.13
101056,0.28
101057,0.03
101064,0.045
101079,0.07
101087,0.03
101090,0.07
101092,0.11
101097,0.095
101099,0.03
101107,0.17
101118,0.06
101125,0.05
101126,0.03
101128,0.065
101136,0.21
101140,0.17
101149,0.09
101160,0.02
101169,0.2
101181,0.06
101186,0.03
101190,0.135
101193,0.1
101194,0.27
101198,0.06
101200,0.03
101204,0.05
101211,0.13
101213,0.13
101223,0.08
101225,0.11
101237,0.14
101243,0.04
101244,0.15
101258,0.04
101259,0.16
101268,0.19
101269,0.04
101271,0.105
101279,0.02
101281,0.17
101287,0.02
101292,0.08
101294,0.05
101296,0.07
101297,0.03
101299,0.09
101301,0.07
101305,0.08
101308,0.13
101318,0.02
101327,0.21
101329,0.0
101332,0.04
101337,0.09
101343,0.0
101345,0.0
101346,0.03
101353,0.03
101354,0.14
101355,0.19
101356,0.01
101362,0.1
101363,0.21
101365,0.02
101366,0.13
101367,0.15
101368,0.02
101374,0.18
101380,0.02
101383,0.05
101398,0.05
101399,0.2
101401,0.07
101412,0.14
101426,0.06
101427,0.34
101428,0.19
101429,0.11
101434,0.06
101440,0.11
101448,0.09
101449,0.08
101465,0.11
101467,0.11
101472,0.095
101478,0.14
101497,0.17
101504,0.19
101547,0.03
101548,0.1
101555,0.165
101570,0.06
101572,0.05
101578,0.1
101580,0.21
101588,0.11
101602,0.03
101610,0.25
101614,0.07
101616,0.06
101643,0.06
101644,0.07
101649,0.15
101650,0.065
101665,0.0
101667,0.11
101669,0.05
101674,0.05
101675,0.02
101678,0.08
101682,0.06
101686,0.01
101697,0.17
101700,0.245
101711,0.04
101714,0.06
101715,0.21
101728,0.11
101732,0.1
101757,0.16
101758,0.08
101759,0.09
101762,0.09
101764,0.05
101780,0.38
101784,0.05
101789,0.03
101816,0.045
101819,0.09
101827,0.0
101863,0.04
101867,0.055
101870,0.05
101873,0.16
101878,0.15
101879,0.16
101880,0.02
101887,0.05
101897,0.08
101901,0.14
101903,0.26
101920,0.07
101921,0.07
101922,0.09
101961,0.16
101962,0.13
101971,0.05
101976,0.24
102002,0.125
102005,0.05
102007,0.27
102017,0.04
102019,0.22
102029,0.04
102051,0.25
102052,0.03
102054,0.03
102062,0.02
102067,0.21
102068,0.15
102070,0.05
102090,0.12
102092,0.06
102099,0.08
102100,0.09
102112,0.04
102113,0.01
102122,0.275
102123,0.11
102125,0.05
102126,0.3
102146,0.08
102147,0.11
102151,0.03
102158,0.11
102159,0.02
102162,0.17
102165,0.05
102166,0.03
102174,0.03
102193,0.22
102198,0.03
102205,0.115
102206,0.05
102218,0.03
102221,0.0
102230,0.02
102238,0.09
102248,0.09
102252,0.255
102259,0.09
102262,0.14
102273,0.1
102286,0.07
102293,0.03
102294,0.06
102296,0.05
102298,0.11
102303,0.01
102309,0.115
102315,0.115
102340,0.07
102342,0.1
102344,0.05
102346,0.05
102347,0.04
102374,0.22
102380,0.06
102387,0.105
102393,0.03
102403,0.04
102413,0.09
102414,0.04
102415,0.07
102416,0.1
102439,0.05
102441,0.11
102443,0.03
102444,0.12
102445,0.17
102448,0.07
102449,0.05
102450,0.235
102456,0.01
102458,0.13
102459,0.05
102465,0.03
102470,0.21
102471,0.07
102475,0.07
102476,0.15
102506,0.14
102509,0.04
102519,0.02
102522,0.04
102545,0.05
102549,0.05
102562,0.02
102563,0.02
102568,0.09
102582,0.03
102592,0.07
102597,0.115
102605,0.03
102614,0.09
102617,0.155
102634,0.13
102652,0.05
102655,0.03
102671,0.05
102694,0.16
102701,0.05
102703,0.03
102704,0.03
102713,0.12
102720,0.12
102731,0.04
102733,0.01
102749,0.07
102755,0.03
102763,0.095
102770,0.08
102772,0.05
102799,0.245
102838,0.03
102854,0.0
102862,0.1
102863,0.05
102867,0.0
102868,0.05
102878,0.08
102887,0.05
102898,0.265
102904,0.04
102912,0.09
102919,0.0
102927,0.08
102932,0.07
102933,0.06
102935,0.08
102958,0.03
102969,0.08
102971,0.03
102975,0.02
102979,0.12
102982,0.03
102987,0.15
102989,0.19
102995,0.09
102996,0.16
103000,0.06
103001,0.22
103004,0.04
103010,0.01
103025,0.14
103029,0.08
103046,0.05
103056,0.04
103062,0.2
103078,0.07
103083,0.03
103092,0.04
103096,0.09
103097,0.27
103102,0.15
103112,0.17
103132,0.02
103144,0.15
103145,0.1
103146,0.06
103147,0.21
103158,0.04
103171,0.22
103173,0.08
103184,0.09
103195,0.21
103196,0.1
103206,0.08
103230,0.1
103231,0.16
103232,0.03
103239,0.135
103240,0.14
103243,0.05
103252,0.14
103258,0.1
103259,0.135
103279,0.09
103280,0.07
103286,0.03
103287,0.43
103290,0.03
103298,0.03
103315,0.04
103319,0.06
103334,0.065
103336,0.15
103345,0.03
103368,0.09
103371,0.23
103377,0.13
103398,0.0
103404,0.04
103408,0.22
103410,0.1
103418,0.1
103420,0.25
103432,0.11
103433,0.04
103436,0.01
103440,0.07
103453,0.03
103459,0.1
103460,0.105
103461,0.02
103462,0.075
103473,0.135
103474,0.01
103475,0.24
103478,0.09
103480,0.14
103484,0.01
103494,0.15
103513,0.27
103515,0.01
103516,0.33
103525,0.215
103541,0.26
103544,0.04
103562,0.21
103570,0.27
103572,0.15
103574,0.02
103575,0.08
103591,0.14
103594,0.05
103609,0.04
103613,0.17
103614,0.14
103615,0.12
103624,0.13
103625,0.28
103628,0.32
103629,0.02
103647,0.08
103648,0.1
103651,0.04
103658,0.04
103668,0.07
103669,0.03
103676,0.03
103682,0.02
103683,0.06
103689,0.01
103725,0.11
103733,0.28
103744,0.02
103762,0.09
103771,0.38
103773,0.04
103783,0.04
103784,0.02
103808,0.01
103812,0.0
103813,0.13
103814,0.05
103818,0.24
103824,0.1
103828,0.02
103830,0.2
103840,0.02
103842,0.17
103847,0.19
103848,0.15
103851,0.02
103854,0.265
103857,0.24
103861,0.03
103862,0.15
103865,0.11
103870,0.0
103876,0.02
103891,0.35
103908,0.03
103914,0.05
103918,0.01
103940,0.085
103963,0.19
103966,0.09
103971,0.08
103980,0.115
103984,0.1
103985,0.04
103998,0.27
104019,0.015
104026,0.09
104035,0.17
104044,0.1
104045,0.05
104047,0.25
104051,0.01
104058,0.06
104063,0.05
104066,0.15
104087,0.005
104089,0.04
104095,0.04
104098,0.11
104104,0.05
104110,0.32
104120,0.24
104122,0.0
104131,0.115
104132,0.09
104135,0.05
104136,0.04
104149,0.06
104150,0.01
104156,0.25
104165,0.14
104175,0.04
104179,0.07
104184,0.15
104206,0.05
104216,0.2
104230,0.125
104257,0.08
104272,0.07
104273,0.1
104278,0.02
104294,0.19
104295,0.05
104297,0.04
104298,0.14
104308,0.05
104318,0.04
104319,0.04
104320,0.165
104327,0.08
104334,0.08
104344,0.09
104350,0.06
104351,0.19
104354,0.08
104369,0.15
104376,0.1
104381,0.06
104384,0.06
104391,0.01
104394,0.04
104398,0.3
104402,0.02
104408,0.18
104409,0.02
104410,0.24
104412,0.07
104417,0.18
104424,0.11
104426,0.07
104435,0.05
104445,0.07
104458,0.01
104460,0.07
104466,0.06
104472,0.09
104473,0.1
104479,0.01
104480,0.08
104482,0.215
104499,0.02
104501,0.04
104502,0.06
104506,0.03
104510,0.04
104512,0.16
104520,0.09
104528,0.06
104529,0.06
104541,0.05
104578,0.07
104584,0.14
104588,0.085
104602,0.06
104610,0.07
104611,0.15
104618,0.09
104620,0.04
104622,0.06
104624,0.11
104625,0.07
104634,0.12
104639,0.06
104646,0.04
104647,0.09
104652,0.04
104670,0.11
104677,0.03
104685,0.18
104691,0.03
104696,0.08
104699,0.03
104712,0.15
104714,0.03
104717,0.06
104718,0.01
104740,0.04
104741,0.07
104743,0.02
104744,0.11
104747,0.115
104767,0.03
104772,0.17
104776,0.12
104779,0.025
104814,0.09
104815,0.04
104830,0.08
104831,0.11
104833,0.16
104839,0.09
104840,0.08
104860,0.15
104861,0.13
104866,0.03
104870,0.01
104877,0.16
104878,0.02
104879,0.06
104880,0.04
104899,0.06
104906,0.07
104907,0.03
104913,0.16
104916,0.07
104921,0.16
104930,0.05
104931,0.22
104936,0.05
104937,0.07
104942,0.04
104943,0.02
104969,0.2
104972,0.24
104988,0.04
105013,0.05
105015,0.04
105019,0.04
105027,0.06
105030,0.01
105035,0.34
105041,0.06
105051,0.11
105056,0.02
105067,0.31
105071,0.07
105072,0.03
105074,0.15
105091,0.06
105101,0.06
105103,0.06
105134,0.04
105139,0.02
105142,0.175
105146,0.08
105163,0.03
105168,0.15
105172,0.03
105176,0.375
105195,0.06
105196,0.17
105197,0.0
105203,0.05
105223,0.12
105227,0.15
105228,0.05
105230,0.06
105231,0.2
105239,0.07
105242,0.09
105244,0.06
105245,0.07
105248,0.09
105249,0.1
105266,0.09
105271,0.175
105276,0.1
105282,0.04
105292,0.18
105297,0.02
105332,0.09
105333,0.06
105343,0.07
105344,0.14
105345,0.06
105357,0.04
105359,0.065
105366,0.03
105367,0.06
105370,0.11
105377,0.06
105390,0.1
105399,0.04
105403,0.06
105404,0.03
105414,0.02
105417,0.06
105425,0.14
105452,0.15
105454,0.125
105456,0.05
105470,0.07
105471,0.06
105483,0.18
105493,0.17
105508,0.15
105514,0.06
105515,0.02
105528,0.39
105529,0.04
105531,0.09
105532,0.07
105558,0.01
105574,0.03
105578,0.04
105584,0.23
105595,0.14
105617,0.08
105618,0.05
105621,0.05
105625,0.12
105629,0.05
105630,0.01
105634,0.0
105635,0.01
105641,0.1
105647,0.05
105648,0.04
105655,0.04
105657,0.02
105672,0.03
105678,0.2
105682,0.16
105691,0.05
105692,0.04
105706,0.14
105712,0.12
105720,0.09
105734,0.03
105735,0.02
105736,0.23
105737,0.04
105738,0.1
105740,0.16
105744,0.08
105747,0.125
105749,0.17
105754,0.02
105758,0.14
105760,0.16
105767,0.07
105784,0.17
105791,0.02
105802,0.21
105807,0.3
105809,0.02
105816,0.05
105817,0.11
105824,0.17
105832,0.06
105856,0.05
105865,0.065
105899,0.2
105906,0.07
105916,0.12
105923,0.1
105937,0.09
105965,0.01
105966,0.12
105968,0.18
105973,0.08
105976,0.11
105978,0.07
105979,0.06
105991,0.14
105998,0.13
105999,0.08
106000,0.165
106001,0.06
106010,0.14
106011,0.13
106013,0.23
106015,0.07
106026,0.0
106032,0.05
106035,0.3
106040,0.07
106041,0.09
106044,0.05
106053,0.31
106054,0.15
106065,0.28
106081,0.08
106083,0.08
106087,0.05
106090,0.1
106101,0.09
106102,0.12
106109,0.07
106116,0.08
106150,0.03
106155,0.15
106166,0.04
106176,0.06
106189,0.07
106199,0.15
106205,0.135
106206,0.13
106211,0.105
106214,0.08
106216,0.11
106217,0.06
106225,0.08
106249,0.08
106256,0.06
106258,0.02
106261,0.07
106262,0.21
106264,0.04
106271,0.03
106276,0.08
106277,0.19
